Player,Pos,Neg,PPerc,NPerc
isaiah hartenstein,6,2,0.75,0.25
brandon boston jr,1,1,0.5,0.5
jay scrubb,0,1,0.0,1.0
marcus morris,4,2,0.67,0.33
serge ibaka,0,1,0.0,1.0
kawhi leonard,11,8,0.58,0.42
anthony davis,23,12,0.66,0.34
russell westbrook,108,63,0.63,0.37
carmelo anthony,17,7,0.71,0.29
malik monk,34,8,0.81,0.19
avery bradley,8,1,0.89,0.11
kent bazemore,16,8,0.67,0.33
deandre jordan,3,2,0.6,0.4
dwight howard,22,5,0.81,0.19
rajon rondo,4,3,0.57,0.43
austin reaves,12,4,0.75,0.25
wayne ellington,0,1,0.0,1.0
lebron james,71,31,0.7,0.3
talen horton tucker,7,2,0.78,0.22
kendrick nunn,0,1,0.0,1.0
trevor ariza,0,1,0.0,1.0
ja morant,94,36,0.72,0.28
desmond bane,6,4,0.6,0.4
jaren jackson jr,0,1,0.0,1.0
de'anthony melton,0,1,0.0,1.0
kyle anderson,3,2,0.6,0.4
steven adams,0,7,0.0,1.0
tyus jones,4,3,0.57,0.43
john konchar,0,1,0.0,1.0
brandon clarke,0,6,0.0,1.0
xavier tillman sr,0,1,0.0,1.0
sam merrill,1,1,0.5,0.5
dillon brooks,3,2,0.6,0.4
tyler herro,82,26,0.76,0.24
duncan robinson,23,15,0.61,0.39
pj tucker,10,4,0.71,0.29
dewayne dedmon,3,1,0.75,0.25
kyle lowry,36,19,0.65,0.35
jimmy butler,29,13,0.69,0.31
bam adebayo,9,4,0.69,0.31
caleb martin,0,2,0.0,1.0
markieff morris,2,1,0.67,0.33
max strus,0,6,0.0,1.0
udonis haslem,0,5,0.0,1.0
victor oladipo,3,3,0.5,0.5
grayson allen,28,6,0.82,0.18
pat connaughton,17,4,0.81,0.19
jordan nwora,13,2,0.87,0.13
giannis antetokounmpo,77,16,0.83,0.17
george hill,0,7,0.0,1.0
thanasis antetokounmpo,5,2,0.71,0.29
justin robinson,0,1,0.0,1.0
bobby portis,6,1,0.86,0.14
semi ojeleye,2,1,0.67,0.33
jrue holiday,12,5,0.71,0.29
khris middleton,9,1,0.9,0.1
sandro mamukelashvili,0,1,0.0,1.0
brook lopez,11,2,0.85,0.15
donte divincenzo,0,1,0.0,1.0
anthony edwards,32,12,0.73,0.27
karl anthony towns,4,2,0.67,0.33
malik beasley,2,2,0.5,0.5
jaden mcdaniels,0,4,0.0,1.0
jarred vanderbilt,0,1,0.0,1.0
d'angelo russell,3,2,0.6,0.4
patrick beverley,0,1,0.0,1.0
taurean prince,1,1,0.5,0.5
jordan mclaughlin,0,1,0.0,1.0
jonas valanciunas,8,5,0.62,0.38
nickeil alexander-walker,0,4,0.0,1.0
devonte graham,8,2,0.8,0.2
trey murphy iii,3,1,0.75,0.25
jaxson hayes,1,1,0.5,0.5
garrett temple,0,1,0.0,1.0
herb jones,11,9,0.55,0.45
kira lewis jr,0,4,0.0,1.0
josh hart,2,1,0.67,0.33
brandon ingram,11,4,0.73,0.27
willy hernangomez,0,1,0.0,1.0
zion williamson,28,16,0.64,0.36
julius randle,44,15,0.75,0.25
rj barrett,43,12,0.78,0.22
derrick rose,33,8,0.8,0.2
evan fournier,22,6,0.79,0.21
alec burks,0,1,0.0,1.0
immanuel quickley,4,2,0.67,0.33
obi toppin,13,7,0.65,0.35
kemba walker,12,5,0.71,0.29
taj gibson,2,1,0.67,0.33
jericho sims,0,1,0.0,1.0
miles mcbride,2,1,0.67,0.33
kevin knox,2,2,0.5,0.5
shai gilgeous-alexander,10,5,0.67,0.33
darius bazley,5,4,0.56,0.44
josh giddey,20,5,0.8,0.2
luguentz dort,20,6,0.77,0.23
derrick favors,4,1,0.8,0.2
mike muscala,6,1,0.86,0.14
ty jerome,8,2,0.8,0.2
tre mann,4,2,0.67,0.33
theo maledon,0,1,0.0,1.0
isaiah roby,0,2,0.0,1.0
gabriel deck,0,1,0.0,1.0
cole anthony,41,15,0.73,0.27
franz wagner,29,2,0.94,0.06
wendell carter jr,11,1,0.92,0.08
mo bamba,63,21,0.75,0.25
terrence ross,4,2,0.67,0.33
jalen suggs,31,6,0.84,0.16
gary harris,6,1,0.86,0.14
chuma okeke,1,1,0.5,0.5
markelle fultz,3,1,0.75,0.25
tyrese maxey,49,13,0.79,0.21
georges niang,14,5,0.74,0.26
seth curry,30,6,0.83,0.17
furkan korkmaz,16,5,0.76,0.24
andre drummond,17,7,0.71,0.29
paul reed,0,2,0.0,1.0
shake milton,0,3,0.0,1.0
danny green,13,9,0.59,0.41
joel embiid,26,24,0.52,0.48
tobias harris,1,1,0.5,0.5
matisse thybulle,10,1,0.91,0.09
isaiah joe,0,2,0.0,1.0
ben simmons,50,16,0.76,0.24
devin booker,21,7,0.75,0.25
chris paul,11,2,0.85,0.15
mikal bridges,4,3,0.57,0.43
javale mcgee,8,1,0.89,0.11
jae crowder,0,1,0.0,1.0
landry shamet,1,1,0.5,0.5
abdel nader,0,1,0.0,1.0
frank kaminsky,19,5,0.79,0.21
cameron payne,0,1,0.0,1.0
deandre ayton,16,3,0.84,0.16
jalen smith,0,1,0.0,1.0
chandler hutchison,0,1,0.0,1.0
ish wainright,4,2,0.67,0.33
cj mccollum,29,9,0.76,0.24
anfernee simons,3,1,0.75,0.25
