ID,TEAM A,TEAM B
qnpmy1,San Antonio Spurs,Orlando Magic
qnpqwg,Washington Wizards,Memphis Grizzlies
qnqa83,New York Knicks,Milwaukee Bucks
qnq3x6,Cleveland Cavaliers,Toronto Raptors
qnqqil,Minnesota Timberwolves,Los Angeles Clippers
qnsq9q,Golden State Warriors,New Orleans Pelicans
qnt70w,Portland Trail Blazers,Indiana Pacers
qnsm2u,Sacramento Kings,Charlotte Hornets
qobvze,Denver Nuggets,Houston Rockets
qoeowy,Miami Heat,Utah Jazz
qof6x4,Philadelphia 76ers,Chicago Bulls
qofkyv,Dallas Mavericks,Boston Celtics
qoh14h,Phoenix Suns,Atlanta Hawks
qohebt,Portland Trail Blazers,Los Angeles Lakers
qozx9i,Brooklyn Nets,Toronto Raptors
qp2ruw,Cleveland Cavaliers,New York Knicks
qp2roi,Orlando Magic,Utah Jazz
qp2ux2,Indiana Pacers,Sacramento Kings
qp2tr1,Milwaukee Bucks,Washington Wizards
qp3q65,Oklahoma City Thunder,San Antonio Spurs
qp5ex6,Golden State Warriors,Houston Rockets
qp64w0,Los Angeles Clippers,Charlotte Hornets
qptgq4,New York Knicks,Philadelphia 76ers
qpuhw3,Chicago Bulls,Brooklyn Nets
qpv1cp,Minnesota Timberwolves,Memphis Grizzlies
qpv714,Dallas Mavericks,New Orleans Pelicans
qpvx20,Denver Nuggets,Miami Heat
qpwpx2,Golden State Warriors,Atlanta Hawks
qpwsc5,Phoenix Suns,Sacramento Kings
qpxlho,Charlotte Hornets,Los Angeles Lakers
qqk8gs,Milwaukee Bucks,Philadelphia 76ers
qqlwv4,Utah Jazz,Atlanta Hawks
qqmtgl,Portland Trail Blazers,Los Angeles Clippers
qraq45,Washington Wizards,Cleveland Cavaliers
qrah8l,Brooklyn Nets,Orlando Magic
qrbiyu,Boston Celtics,Toronto Raptors
qrbh5x,Detroit Pistons,Houston Rockets
qrb490,Milwaukee Bucks,New York Knicks
qrbkr7,Chicago Bulls,Dallas Mavericks
qrbpo0,Charlotte Hornets,Memphis Grizzlies
qrbvwd,Oklahoma City Thunder,New Orleans Pelicans
qrc4x1,San Antonio Spurs,Sacramento Kings
qrcrie,Denver Nuggets,Indiana Pacers
qrcvi9,Phoenix Suns,Portland Trail Blazers
qrdyuv,Golden State Warriors,Minnesota Timberwolves
qreg8o,Los Angeles Lakers,Miami Heat
qs149s,Philadelphia 76ers,Toronto Raptors
qs3c67,Indiana Pacers,Utah Jazz
qs4pff,Miami Heat,Los Angeles Clippers
qsrack,New York Knicks,Charlotte Hornets
qsrvx8,Boston Celtics,Milwaukee Bucks
qsrftr,Cleveland Cavaliers,Detroit Pistons
qswcvk,Portland Trail Blazers,Houston Rockets
qss17l,Phoenix Suns,Memphis Grizzlies
qss736,Brooklyn Nets,New Orleans Pelicans
qsskmr,Dallas Mavericks,San Antonio Spurs
qst4vy,Denver Nuggets,Atlanta Hawks
qsu8e3,Golden State Warriors,Chicago Bulls
qsupbw,Minnesota Timberwolves,Los Angeles Lakers
qteb6o,Miami Heat,Utah Jazz
qtg03s,Indiana Pacers,Philadelphia 76ers
qtg5uq,New Orleans Pelicans,Memphis Grizzlies
qtfs0b,Washington Wizards,Orlando Magic
qtgkoc,Detroit Pistons,Toronto Raptors
qtgwwe,Cleveland Cavaliers,Boston Celtics
qtj2df,Los Angeles Clippers,Minnesota Timberwolves
qu1kq7,San Antonio Spurs,Los Angeles Lakers
qu4i2p,Atlanta Hawks,Milwaukee Bucks
qu5sfs,Golden State Warriors,Charlotte Hornets
qu5le3,Brooklyn Nets,Oklahoma City Thunder
qu6qqg,Denver Nuggets,Portland Trail Blazers
qu5ws4,Phoenix Suns,Houston Rockets
qu8fc5,Chicago Bulls,Los Angeles Clippers
quwy96,Boston Celtics,Cleveland Cavaliers
quww84,Sacramento Kings,Detroit Pistons
qux6tf,Washington Wizards,New Orleans Pelicans
quxm48,Atlanta Hawks,Orlando Magic
quxp3q,New York Knicks,Indiana Pacers
quy4cz,Dallas Mavericks,Denver Nuggets
quy987,Houston Rockets,Memphis Grizzlies
quygvv,Phoenix Suns,Minnesota Timberwolves
quy2i1,Miami Heat,Oklahoma City Thunder
qv0d6e,Portland Trail Blazers,Toronto Raptors
qv0xxs,Chicago Bulls,Los Angeles Lakers
qvp8db,Golden State Warriors,Brooklyn Nets
qvrrv4,Utah Jazz,Philadelphia 76ers
qvs730,Los Angeles Clippers,San Antonio Spurs
qwf2sj,Charlotte Hornets,Washington Wizards
qwfunw,Detroit Pistons,Indiana Pacers
qwfr5m,Atlanta Hawks,Boston Celtics
qwfsts,Brooklyn Nets,Cleveland Cavaliers
qwfy6f,Miami Heat,New Orleans Pelicans
qwfzer,Orlando Magic,New York Knicks
qwgjh3,Minnesota Timberwolves,Sacramento Kings
qwgeiz,Oklahoma City Thunder,Houston Rockets
qwiil5,Phoenix Suns,Dallas Mavericks
qwimj7,Portland Trail Blazers,Chicago Bulls
