Player,Pos,Neg,PPerc,NPerc
isaiah hartenstein,6,2,0.75,0.25
brandon boston jr,0,2,0.0,1.0
jay scrubb,0,1,0.0,1.0
marcus morris,4,2,0.67,0.33
serge ibaka,0,1,0.0,1.0
kawhi leonard,12,7,0.63,0.37
anthony davis,27,8,0.77,0.23
russell westbrook,113,58,0.66,0.34
carmelo anthony,18,6,0.75,0.25
malik monk,34,8,0.81,0.19
avery bradley,7,2,0.78,0.22
kent bazemore,18,6,0.75,0.25
deandre jordan,4,1,0.8,0.2
dwight howard,22,5,0.81,0.19
rajon rondo,5,2,0.71,0.29
austin reaves,12,4,0.75,0.25
wayne ellington,0,1,0.0,1.0
lebron james,78,24,0.76,0.24
talen horton tucker,8,1,0.89,0.11
kendrick nunn,0,1,0.0,1.0
trevor ariza,0,1,0.0,1.0
ja morant,101,29,0.78,0.22
desmond bane,0,10,0.0,1.0
jaren jackson jr,0,1,0.0,1.0
de'anthony melton,0,1,0.0,1.0
kyle anderson,0,5,0.0,1.0
steven adams,0,7,0.0,1.0
tyus jones,6,1,0.86,0.14
john konchar,0,1,0.0,1.0
brandon clarke,0,6,0.0,1.0
xavier tillman sr,0,1,0.0,1.0
sam merrill,1,1,0.5,0.5
dillon brooks,4,1,0.8,0.2
tyler herro,81,27,0.75,0.25
duncan robinson,27,11,0.71,0.29
pj tucker,9,5,0.64,0.36
dewayne dedmon,3,1,0.75,0.25
kyle lowry,44,11,0.8,0.2
jimmy butler,29,13,0.69,0.31
bam adebayo,11,2,0.85,0.15
caleb martin,0,2,0.0,1.0
markieff morris,2,1,0.67,0.33
max strus,0,6,0.0,1.0
udonis haslem,0,5,0.0,1.0
victor oladipo,0,6,0.0,1.0
grayson allen,28,6,0.82,0.18
pat connaughton,16,5,0.76,0.24
jordan nwora,13,2,0.87,0.13
giannis antetokounmpo,76,17,0.82,0.18
george hill,6,1,0.86,0.14
thanasis antetokounmpo,6,1,0.86,0.14
justin robinson,0,1,0.0,1.0
bobby portis,6,1,0.86,0.14
semi ojeleye,0,3,0.0,1.0
jrue holiday,12,5,0.71,0.29
khris middleton,8,2,0.8,0.2
sandro mamukelashvili,0,1,0.0,1.0
brook lopez,10,3,0.77,0.23
donte divincenzo,0,1,0.0,1.0
anthony edwards,31,13,0.7,0.3
karl anthony towns,3,3,0.5,0.5
malik beasley,3,1,0.75,0.25
jaden mcdaniels,0,4,0.0,1.0
jarred vanderbilt,0,1,0.0,1.0
d'angelo russell,3,2,0.6,0.4
patrick beverley,0,1,0.0,1.0
taurean prince,1,1,0.5,0.5
jordan mclaughlin,0,1,0.0,1.0
jonas valanciunas,7,6,0.54,0.46
nickeil alexander-walker,3,1,0.75,0.25
devonte graham,6,4,0.6,0.4
trey murphy iii,2,2,0.5,0.5
jaxson hayes,1,1,0.5,0.5
garrett temple,0,1,0.0,1.0
herb jones,14,6,0.7,0.3
kira lewis jr,3,1,0.75,0.25
josh hart,0,3,0.0,1.0
brandon ingram,10,5,0.67,0.33
willy hernangomez,0,1,0.0,1.0
zion williamson,32,12,0.73,0.27
julius randle,40,19,0.68,0.32
rj barrett,43,12,0.78,0.22
derrick rose,36,5,0.88,0.12
evan fournier,23,5,0.82,0.18
alec burks,0,1,0.0,1.0
immanuel quickley,3,3,0.5,0.5
obi toppin,14,6,0.7,0.3
kemba walker,15,2,0.88,0.12
taj gibson,0,3,0.0,1.0
jericho sims,0,1,0.0,1.0
miles mcbride,2,1,0.67,0.33
kevin knox,2,2,0.5,0.5
shai gilgeous-alexander,9,6,0.6,0.4
darius bazley,6,3,0.67,0.33
josh giddey,19,6,0.76,0.24
luguentz dort,20,6,0.77,0.23
derrick favors,4,1,0.8,0.2
mike muscala,4,3,0.57,0.43
ty jerome,7,3,0.7,0.3
tre mann,3,3,0.5,0.5
theo maledon,0,1,0.0,1.0
isaiah roby,1,1,0.5,0.5
gabriel deck,0,1,0.0,1.0
cole anthony,42,14,0.75,0.25
franz wagner,25,6,0.81,0.19
wendell carter jr,10,2,0.83,0.17
mo bamba,75,9,0.89,0.11
terrence ross,5,1,0.83,0.17
jalen suggs,30,7,0.81,0.19
gary harris,5,2,0.71,0.29
chuma okeke,1,1,0.5,0.5
markelle fultz,3,1,0.75,0.25
tyrese maxey,50,12,0.81,0.19
georges niang,17,2,0.89,0.11
seth curry,29,7,0.81,0.19
furkan korkmaz,15,6,0.71,0.29
andre drummond,17,7,0.71,0.29
paul reed,0,2,0.0,1.0
shake milton,0,3,0.0,1.0
danny green,12,10,0.55,0.45
joel embiid,33,17,0.66,0.34
tobias harris,1,1,0.5,0.5
matisse thybulle,9,2,0.82,0.18
isaiah joe,1,1,0.5,0.5
ben simmons,52,14,0.79,0.21
devin booker,20,8,0.71,0.29
chris paul,10,3,0.77,0.23
mikal bridges,5,2,0.71,0.29
javale mcgee,6,3,0.67,0.33
jae crowder,0,1,0.0,1.0
landry shamet,0,2,0.0,1.0
abdel nader,0,1,0.0,1.0
frank kaminsky,21,3,0.88,0.12
cameron payne,0,1,0.0,1.0
deandre ayton,18,1,0.95,0.05
jalen smith,0,1,0.0,1.0
chandler hutchison,0,1,0.0,1.0
ish wainright,4,2,0.67,0.33
cj mccollum,22,16,0.58,0.42
anfernee simons,2,2,0.5,0.5
jusuf nurkic,2,1,0.67,0.33
nassir little,0,3,0.0,1.0
robert covington,0,1,0.0,1.0
larry nance jr,6,4,0.6,0.4
damian lillard,15,5,0.75,0.25
norman powell,0,2,0.0,1.0
tony snell,0,1,0.0,1.0
greg brown iii,0,1,0.0,1.0
ben mclemore,9,3,0.75,0.25
quinn cook,0,2,0.0,1.0
harrison barnes,27,9,0.75,0.25
de'aaron fox,25,13,0.66,0.34
buddy hield,13,8,0.62,0.38
richaun holmes,12,5,0.71,0.29
davion mitchell,29,8,0.78,0.22
tyrese haliburton,0,3,0.0,1.0
tristan thompson,0,2,0.0,1.0
alex len,0,3,0.0,1.0
chimezie metu,1,1,0.5,0.5
damian jones,0,1,0.0,1.0
marvin bagley iii,9,2,0.82,0.18
louis king,64,27,0.7,0.3
dejounte murray,23,1,0.96,0.04
keldon johnson,7,2,0.78,0.22
devin vassell,7,1,0.88,0.12
lonnie walker,0,2,0.0,1.0
drew eubanks,0,2,0.0,1.0
bryn forbes,2,1,0.67,0.33
tre jones,0,2,0.0,1.0
doug mcdermott,3,1,0.75,0.25
thaddeus young,8,5,0.62,0.38
jakob poeltl,9,4,0.69,0.31
jock landale,0,2,0.0,1.0
joshua primo,0,2,0.0,1.0
og anunoby,51,18,0.74,0.26
gary trent jr,6,3,0.67,0.33
svi mykhailiuk,11,4,0.73,0.27
dalano banton,10,4,0.71,0.29
fred vanvleet,36,7,0.84,0.16
chris boucher,7,1,0.88,0.12
scottie barnes,101,21,0.83,0.17
precious achiuwa,10,2,0.83,0.17
khem birch,5,2,0.71,0.29
malachi flynn,0,1,0.0,1.0
goran dragic,9,1,0.9,0.1
pascal siakam,13,4,0.76,0.24
david johnson,0,1,0.0,1.0
yuta watanabe,0,1,0.0,1.0
bojan bogdanovic,3,1,0.75,0.25
jordan clarkson,11,1,0.92,0.08
rudy gobert,17,8,0.68,0.32
joe ingles,2,2,0.5,0.5
hassan whiteside,0,8,0.0,1.0
eric paschall,0,1,0.0,1.0
donovan mitchell,10,3,0.77,0.23
mike conley,0,5,0.0,1.0
jared butler,0,1,0.0,1.0
miye oni,1,1,0.5,0.5
montrezl harrell,7,2,0.78,0.22
kyle kuzma,35,8,0.81,0.19
aaron holiday,0,1,0.0,1.0
deni avdija,29,3,0.91,0.09
spencer dinwiddie,15,5,0.75,0.25
raul neto,0,2,0.0,1.0
corey kispert,2,1,0.67,0.33
daniel gafford,0,4,0.0,1.0
bradley beal,17,6,0.74,0.26
davis bertans,2,2,0.5,0.5
rui hachimura,5,1,0.83,0.17
thomas bryant,0,1,0.0,1.0
